word,resp,beep,sentence,wordPracLoop.thisRepN,wordPracLoop.thisTrialN,wordPracLoop.thisN,wordPracLoop.thisIndex,wordLoop.thisRepN,wordLoop.thisTrialN,wordLoop.thisN,wordLoop.thisIndex,sentPracLoop.thisRepN,sentPracLoop.thisTrialN,sentPracLoop.thisN,sentPracLoop.thisIndex,meaningLoop.thisRepN,meaningLoop.thisTrialN,meaningLoop.thisN,meaningLoop.thisIndex,nonsenseLoop.thisRepN,nonsenseLoop.thisTrialN,nonsenseLoop.thisN,nonsenseLoop.thisIndex,wordInst.started,wordInst.stopped,proceedPrac0.started,proceedPrac0.stopped,wordInst2.started,wordInst2.stopped,proceed1.keys,proceed1.rt,proceed1.started,proceed1.stopped,iti,wordPrac.started,wordPrac.stopped,beepPrac.started,beepPrac.stopped,proceedPrac.started,proceedPrac.stopped,ITI1.started,ITI1.stopped,word_great.started,word_great.stopped,wordStim.started,wordStim.stopped,wordResp.keys,wordResp.rt,wordResp.started,wordResp.stopped,proceed3.started,proceed3.stopped,wordBeep.started,wordBeep.stopped,ITI2.started,ITI2.stopped,word_difficulty.started,word_difficulty.stopped,diffRating.response,diffRating.rt,diffRating.started,diffRating.stopped,tired.started,tired.stopped,fatigueRating.response,fatigueRating.rt,fatigueRating.started,fatigueRating.stopped,senInst.started,senInst.stopped,proceed4.keys,proceed4.rt,proceed4.started,proceed4.stopped,senInst2.started,senInst2.stopped,proceed4_2.keys,proceed4_2.rt,proceed4_2.started,proceed4_2.stopped,sentPrac.started,sentPrac.stopped,beepSentPrac.started,beepSentPrac.stopped,proceedSent.started,proceedSent.stopped,ITI3.started,ITI3.stopped,block2Intro.started,block2Intro.stopped,proceed5.keys,proceed5.rt,proceed5.started,proceed5.stopped,sentStim.started,sentStim.stopped,sentResp.keys,sentResp.rt,sentResp.started,sentResp.stopped,proceed6.started,proceed6.stopped,sentBeep.started,sentBeep.stopped,ITI4.started,ITI4.stopped,sent_difficulty.started,sent_difficulty.stopped,sentRating.response,sentRating.rt,sentRating.started,sentRating.stopped,block3Intro.started,block3Intro.stopped,proceed7.keys,proceed7.rt,proceed7.started,proceed7.stopped,nonsenseStim.started,nonsenseStim.stopped,nonsenseResp.keys,nonsenseResp.rt,nonsenseResp.started,nonsenseResp.stopped,proceed8.started,proceed8.stopped,nonsenseBeep.started,nonsenseBeep.stopped,ITI5.started,ITI5.stopped,strategyUse.started,strategyUse.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,thanks.started,thanks.stopped,escape.keys,escape.rt,escape.started,escape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,13.688369483000315,None,13.688369483000315,None,19.0460147470003,None,space,4.188928384000064,19.0460147470003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
gmae,space,audio/beep.wav,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,24.26256145000025,None,24.262257687100192,24.462432967000495,23.2774600620005,None,23.2774600620005,24.295799999000337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
wsih,space,audio/beep.wav,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,26.52912805899996,None,26.528917968099723,26.72908718400049,25.199269763999837,None,25.199269763999837,26.56247775799966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
numreb,space,audio/beep.wav,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,28.445760655000413,None,28.445529153099688,28.645729038000354,27.165875869000047,None,27.165875869000047,28.462526575000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
chcnae,space,audio/beep.wav,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,30.662412589999803,None,30.66217247309969,30.86242492099973,29.29608671999995,None,29.29608671999995,30.6955986009998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
wordl,space,audio/beep.wav,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,32.612748716999704,None,32.612479915100536,32.81276794800033,31.347491966000234,None,31.347491966000234,32.62939005200042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
advance,space,audio/beep.wav,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,33.24612876399988,None,36.212627859999884,None,space,1.712572899999941,35.279427491000206,None,35.09951320900018,None,1.135941378201096,1.3359121262010376,35.09951320900018,36.22936241200023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
prbolem,space,audio/beep.wav,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,38.01271239400012,None,space,1.5348888359994817,37.19602857799964,None,37.01646827100012,None,1.0206419031001133,1.2206146301004992,37.01646827100012,38.02939615200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
originla,space,audio/beep.wav,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,39.762634331999834,None,space,1.38193737399979,38.94594322299963,None,38.76319740400049,None,1.0238443730986546,1.22379510709834,38.76319740400049,39.77935023900045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
party,space,audio/beep.wav,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,41.6459336959997,None,space,1.6556086850005158,40.529330766000385,None,40.347341622000386,None,1.3219210991001091,1.521888953099733,40.347341622000386,41.662631203000274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
